dominant_type,stations_total,stations_with_coordinates,stations_ready_for_kde,stations_modelling_eligible,mean_primary_valid_pct,median_primary_valid_pct,mean_utilisation,median_utilisation,kde_supported,gwr_warning,objective_1_note,objective_2_note
fast,113,113,113,2,0.2935840028900949,0.31771792510742786,0.2903808111482569,0.2903808111482569,TRUE,TRUE,Objective 1 supported. All stations in this group have coordinates for KDE/NCKDE.,Small sample for separate local modelling. Use only for descriptive checks or pooled model sensitivity.
fast_dominant_mixed,9,9,9,0,0.3971633926744424,0.44785911602209943,0.40860093906211914,0.40860093906211914,TRUE,TRUE,Objective 1 supported. All stations in this group have coordinates for KDE/NCKDE.,Objective 2 not supported for this group after cleaning.
slow,1506,1506,1506,858,0.556115483329624,0.7390845610804174,0.204832901177525,0.204832901177525,TRUE,FALSE,Objective 1 supported. All stations in this group have coordinates for KDE/NCKDE.,Objective 2 likely supported for separate GWR/GWML modelling.
slow_dominant_mixed,33,33,33,5,0.3162280028647432,0.34342387968078575,0.33608484542607847,0.33608484542607847,TRUE,TRUE,Objective 1 supported. All stations in this group have coordinates for KDE/NCKDE.,Small sample for separate local modelling. Use only for descriptive checks or pooled model sensitivity.
unknown,21,21,21,0,0,0,NA,NA,TRUE,TRUE,Objective 1 supported. All stations in this group have coordinates for KDE/NCKDE.,Objective 2 not supported for this group after cleaning.
